[2017-05-26 17:40:16] 05 0.0.0.0          Connection Established
[2017-05-26 17:40:17] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:17] 05 0.0.0.0          ERRO Invalid server usage                    
[2017-05-26 17:40:17] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:17] 05 0.0.0.0          ERRO Invalid server usage                    
[2017-05-26 17:40:17] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:17] 05 0.0.0.0          ERRO Invalid server usage                    
[2017-05-26 17:40:18] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:18] 05 0.0.0.0          ERRO Invalid server usage                    
[2017-05-26 17:40:18] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:18] 05 0.0.0.0          ERRO Invalid server usage                    
[2017-05-26 17:40:19] 05 127.0.0.1        PING
[2017-05-26 17:40:19] 05 0.0.0.0          PONG
[2017-05-26 17:40:21] 05 127.0.0.1        PING
[2017-05-26 17:40:21] 05 0.0.0.0          PONG
[2017-05-26 17:40:22] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:22] 05 127.0.0.1        NG
[2017-05-26 17:40:22] 05 0.0.0.0          ERRO Invalid server usage                    
[2017-05-26 17:40:25] 05 0.0.0.0          ERRO no header detected                      
[2017-05-26 17:40:25] 05 127.0.0.1        NG
[2017-05-26 17:40:25] 05 0.0.0.0          ERRO Invalid server usage                    
