[2017-05-26 16:53:56] 05 0.0.0.0          Connection Established
[2017-05-26 16:54:58] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
s
[2017-05-26 16:54:58] 05 0.0.0.0          ERRO malformed message data                  

[2017-05-26 16:55:00] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:01] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:03] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:19] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:20] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:22] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
ystem
[2017-05-26 16:55:23] 05 0.0.0.0          ERRO malformed message data                  

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:23] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

